date,doc_number,title,synopsis,type,action,theme,neighborhood,url,Morillo,Avalos,Ryan,Pirtle-Guiney,Zimmerman,Dunphy,Smith,Green,Clark,Kanal,Novick,Koyama Lane
2026-09-23,2026-277,"Appropriate grant award of $207,411 for speed racing street takeover","Accepts and spends a $207,411 grant to address street takeovers and speed racing.",Emergency ordinance,Passed as amended,Public Safety; Transportation,Citywide,https://www.portland.gov/council/agenda/2026/9/23,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea
2026-09-23,2026-301,Amend Fire Regulations Code to adopt current Oregon Fire Code with City amendments (amend Code Title 31),"Updates the City's fire code to adopt the current Oregon Fire Code, with Portland-specific amendments.",Emergency ordinance,Passed as amended,Public Safety,Not specified in agenda,https://www.portland.gov/council/agenda/2026/9/23,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-09-16,2026-263,"Consent to franchise transfer from Zenith Energy Terminals Holdings LLC to ISQ Springer Holdings, LLC (amend Ordinance 188554)","Would have approved transferring the Zenith Energy terminal franchise to a new owner, ISQ Springer Holdings. It failed; a motion to reconsider was pending as of Sept 23, 2026.",Ordinance,Failed to pass,Environment & Energy,Not specified in agenda,https://www.portland.gov/council/agenda/2026/9/16,Nay,Nay,Yea,Yea,Yea,Nay,Absent,Nay,Yea,Nay,Yea,Nay
2026-09-16,2026-299,"Urge the City Administrator to refrain from signing data center non-disclosure agreements, notify City Council of inquiries for data center deals, and engage in transparent public processes related to data centers","Urges the City Administrator not to sign non-disclosure agreements with data center developers, to tell Council about data center inquiries, and to handle any data center deals through open public processes.",Resolution,Adopted as amended,Government Transparency; Economic Development,Not specified in agenda,https://www.portland.gov/council/agenda/2026/9/16,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
2026-09-09,2026-272,Appropriate grant award of $35 million for Section 108 Loan Guarantee Program,Accepts a $35 million grant award for the Section 108 Loan Guarantee Program.,Ordinance,Passed,Budget & Taxes; Economic Development,Citywide,https://www.portland.gov/council/agenda/2026/9/9,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-09-09,2026-243,"Authorize exception to Code Chapter 17.93 Renaming City Streets and authorize the renaming of Cesar E. Chavez Blvd to Campesinos Blvd (allow exceptions to Code Sections 17.93.010, 17.93.020, 17.93.030, 17.93.040 and 17.93.050)","Renames Cesar E. Chavez Blvd to Campesinos Blvd, making an exception to the City's usual street-renaming rules.",Emergency ordinance,Passed as amended,Transportation; Arts & Culture,Not specified in agenda,https://www.portland.gov/council/agenda/2026/9/9,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-09-09,2026-270,"Accept the Future of Large-Scale Performing Arts recommendations to advance a new Broadway-capable venue as part of the proposed Performing Arts + Culture Center at Portland State University, and initiate planning for the future of the Keller Auditorium",Accepts recommendations to pursue a new Broadway-capable venue in the proposed Performing Arts + Culture Center at Portland State University and to start planning the Keller Auditorium's future.,Resolution,Adopted as amended,Arts & Culture,Not specified in agenda,https://www.portland.gov/council/agenda/2026/9/9,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay
2026-09-02,2026-294,"Authorize an increase up to $245,000 in bureau rates for FY 2026-27 to implement a pilot program to subsidize transit passes for City employees","Raises bureau rates by up to $245,000 this fiscal year to fund a pilot that subsidizes transit passes for City employees.",Emergency ordinance,Passed as amended,Transportation; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/9/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-09-03,2026-285,Direct the City Administrator to advance a process to identify a development partner for City-owned properties adjacent to the Moda Center,Directs the City Administrator to start looking for a development partner for City-owned land next to the Moda Center.,Resolution,Adopted as amended,Economic Development; Land Use & Planning,Lloyd,https://www.portland.gov/council/agenda/2026/9/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-08-12,2026-242,"Amend the Comprehensive Plan Map and Zoning Map for a vacant lot on NW 31st Ave described as Willamette Heights Addition, Block 18, Lot 14 at the request of Portland Parks and Recreation (LU 26-007966 CP ZC)","Changes the Comprehensive Plan and zoning map designations for a vacant lot on NW 31st Ave, at Portland Parks & Recreation's request.",Ordinance,Passed as amended,Land Use & Planning; Parks & Recreation,Northwest District,https://www.portland.gov/council/agenda/2026/8/12,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-08-12,2026-213,Direct the Portland Bureau of Transportation to evaluate and implement no turn on red restrictions at signalized intersections within the High Crash Network,Directs the Bureau of Transportation to study and put in place no-turn-on-red restrictions at signalized intersections on the High Crash Network.,Ordinance,Passed as amended,Transportation; Public Safety,Not specified in agenda,https://www.portland.gov/council/agenda/2026/8/12,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
